year;country;region;gini;inflation;unemployment;gdp;gdpgrowth;gdppercap;imports;exports;netexp;netexppergdp;fdi;fdipergdp;incometax;tradetax;population;education
2020;Iraq;Asia;36,99777778;0,574162679;16,23;1,80924E+11;-12,03679309;4251,337253;57402200000;51505100000;-5897100000;-3,259433253;3006300000;1,661636091;24,97268907;6,688543741;42556984;9,906831683
2020;Ireland;Europe;31,1;-0,334584625;5,62;4,25852E+11;6,184538039;85420,19086;7,07252E+11;6,84152E+11;-23099950430;-5,42440452;-1,26747E+11;-29,76324657;45,05171987;6,688543741;4985382;11,4
2020;Israel;Asia;38,88;-0,614412358;4,33;4,13268E+11;-1,857289278;44846,7916;1,11827E+11;1,26461E+11;14633900000;3,541022221;-18684600000;-4,521185999;31,99327521;0,641109815;9215100;13
2020;Italy;Europe;35,25;-0,137707574;9,16;1,89721E+12;-8,979126097;31918,69349;5,39427E+11;6,32771E+11;93344208638;4,920076622;21788625430;1,148455894;33,11967881;6,688543741;59438851;10,5
2020;Jamaica;Latin America and the Caribbean;36,99777778;5,226777793;6,5;13812421859;-9,9;4897,26477;6713213551;3594849595;-3118363956;-22,57651835;-258407890,6;-1,870836941;33,23860639;8,833726831;2820436;9,906831683
2020;Japan;Dev;36,99777778;-0,024995834;2,8;5,04879E+12;-4,278603688;39986,92863;9,01239E+11;1,07541E+12;1,7417E+11;3,449732155;87533471953;1,733751631;24,97268907;6,688543741;126261000;9,906831683
2020;Jordan;Asia;36,99777778;0,333294351;19,21;43579916197;-1,606636278;3987,650174;19461887324;11357746479;-8104140845;-18,59604504;-733943662;-1,684132798;15,69946933;3,903882542;10928721;10,4
2020;Kazakhstan;Asia;27,33;6,771545828;4,89;1,71082E+11;-2,5;9121,636402;63642398803;51334845203;-12307553600;-7,193934657;-5875441739;-3,434276651;27,93258978;14,69038025;18755666;12,2
2020;Kenya;Africa;40,8;5,404814672;5,616;1,00658E+11;-0,272766327;1936,250752;19505682830;9762337873;-9743344957;-9,679700384;-568783887,9;-0,565068531;36,98515775;7,911935787;51985780;9,906831683
2020;Kiribati;Oceania;27,8;8,340346517;8,105730769;177553260,1;-1,657458564;1403,993738;151399589,4;179421690,2;28022100,82;15,78236345;-2512229,966;-1,41491627;6,525021264;1,541097975;126463;9,906831683
2020;South Korea;Africa;31,4;0,537288023;3,93;1,64431E+12;-0,709415359;31721,29802;5,66029E+11;6,45451E+11;79421600000;4,830078602;26067500000;1,585312736;28,05509939;1,297299185;51836239;12,1
2020;Kosovo;Oceania;27,4;0,198227923;8,105730769;7717143395;-5,340275302;4310,932984;4332565845;2018586501;-2313979344;-29,98492092;-326127458;-4,226012674;24,97268907;6,688543741;1790133;9,906831683
2020;Kuwait;Asia;36,99777778;2,101729548;3,331;1,05949E+11;-8,855278885;24297,70114;47270631672;86898763629;39628131957;37,40310885;3711974759;3,503556416;24,97268907;6,688543741;4360444;7,16
2020;Kyrgyz Republic;Asia;28,25;6,325422963;4,63;7780873259;-8,398364296;1182,521506;4327895003;2456038663;-1871856340;-24,05714985;582405200;7,485087864;12,50703172;10,21834162;6579900;9,906831683
2020;Lao PDR;Asia;38,8;5,10407263;3,576;18981800705;0,50303183;2593,355097;7026933883;6544034864;-482899018,9;-2,544010584;-967706086,2;-5,098073156;24,97268907;6,688543741;7319399;9,906831683
2020;Latvia;Europe;34,9;0,219064905;8,1;34601740323;-2,202985338;18207,13964;21963690508;22307574569;343884061,2;0,993834582;-742834117,2;-2,146811433;6,144948893;-0,004557388;1900449;13,1
2020;Lesotho;Africa;44,9;4,978096763;18,461;2117736528;-5,619402426;939,5042491;2088207408;1428736247;-659471160,5;-31,14037803;-28001666,92;-1,322245074;19,97387336;14,4574571;2254100;9,906831683
2020;Lithuania;Europe;36,68;1,19989445;8,49;56914826861;-0,022073742;20363,92441;39376014957;43039934079;3663919122;6,437547691;-656252376,8;-1,153042912;25,36081272;6,688543741;2794885;13,2
2020;Luxembourg;Europe;33,68;0,819957302;6,77;73992591285;-0,797435589;117370,4969;4,5867E+11;4,6121E+11;2540750268;3,433790091;-24199357349;-32,70510862;31,98868784;6,688543741;630419;12,5
2020;Macao SAR, China;Europe;36,99777778;0,811410511;2,57;25459685020;-54,23590002;37646,49565;17319897970;22542878943;5222980973;20,51471167;8573113377;33,67328924;15,99663763;6,688543741;676283;10,5
2020;Madagascar;Africa;36,99777778;4,201793122;2,363;13051441203;-7,137671622;462,4042288;4147235205;2633805186;-1513430019;-11,59588428;-239373734,6;-1,834078941;20,1261502;11,27445422;28225177;5,07
2020;Malawi;Africa;41,6;8,625514697;5,681;12056108780;0,799998331;622,1845914;3513218097;1291429587;-2221788510;-18,42873642;-199145549,5;-1,651822766;40,03883172;6,692490498;19377061;9,906831683
